timestamp_ms,lat,lon,alt_m,fix_quality
0,37.4218999,-122.0840002,29.99,4
200,37.4219045,-122.0839937,30.19,4
400,37.4219072,-122.0839882,29.94,4
600,37.4219127,-122.0839825,29.88,4
800,37.4219159,-122.0839762,29.91,4
1000,37.4219195,-122.0839692,29.98,4
1200,37.4219247,-122.0839639,29.82,4
1400,37.4219290,-122.0839573,30.19,4
1600,37.4219329,-122.0839513,29.87,4
1800,37.4219360,-122.0839466,29.96,4
2000,37.4219391,-122.0839402,30.19,4
2200,37.4219435,-122.0839334,29.98,4
2400,37.4219478,-122.0839271,30.20,4
2600,37.4219521,-122.0839216,29.86,4
2800,37.4219556,-122.0839151,30.03,4
4000,37.4219801,-122.0838795,29.82,4
4200,37.4219842,-122.0838740,30.14,4
4400,37.4219873,-122.0838671,29.83,4
4600,37.4219914,-122.0838618,30.07,4
4800,37.4219955,-122.0838568,30.16,4
5000,37.4219995,-122.0838498,30.05,4
5200,37.4220038,-122.0838438,30.01,4
5400,37.4220089,-122.0838386,30.09,4
5600,37.4220115,-122.0838322,30.07,4
5800,37.4220156,-122.0838264,30.10,4
6000,37.4220191,-122.0838201,30.20,4
6200,37.4220250,-122.0838149,29.89,4
6400,37.4220275,-122.0838071,30.15,4
6600,37.4220328,-122.0838023,29.86,4
6800,37.4220367,-122.0837956,30.04,4
7000,37.4220410,-122.0837897,29.80,4
7200,37.4220446,-122.0837844,30.07,4
7400,37.4220489,-122.0837787,29.85,4
7600,37.4220512,-122.0837719,29.91,4
7800,37.4220562,-122.0837656,29.88,4
8000,37.4220603,-122.0837605,30.00,4
