timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.2432,0.2077,9.7692,-0.0031,-0.0089,-0.0199
10,0.1627,0.0823,9.7862,0.0096,0.0021,-0.0029
20,-0.2942,-0.2549,9.8483,0.0162,0.0018,0.0134
30,0.0495,-0.2111,9.7727,-0.0077,0.0160,0.0118
40,0.2164,0.2394,9.7810,-0.0100,-0.0159,0.0112
50,0.2305,-0.0562,9.8221,-0.0138,0.0172,0.0146
60,0.2857,0.1865,9.8481,-0.0190,0.0095,-0.0067
70,0.2585,0.1813,9.8464,0.0124,-0.0093,0.0115
80,-0.2351,0.2233,9.8459,-0.0111,0.0127,-0.0016
90,-0.1169,0.1772,9.7828,-0.0191,-0.0123,-0.0069
100,0.2186,0.2801,9.7879,0.0057,-0.0040,0.0192
110,0.0217,0.2635,9.7715,0.0188,-0.0129,0.0185
120,-0.1407,-0.2350,9.8035,0.0091,-0.0075,0.0042
130,0.0069,-0.0689,9.8177,-0.0098,0.0084,-0.0199
140,0.2553,0.0231,9.8319,0.0097,0.0068,-0.0054
150,-0.2580,0.0985,9.7930,-0.0074,0.0139,0.0088
160,-0.1198,-0.1144,9.8008,-0.0039,-0.0082,-0.0149
170,-0.0477,0.2642,9.8277,0.0161,0.0046,-0.0080
180,0.0288,-0.2998,9.7887,-0.0028,0.0032,0.0062
190,-0.0210,-0.0347,9.7814,-0.0011,0.0160,0.0118
200,-0.1982,-0.2491,9.8115,0.0053,-0.0066,0.0127
210,0.1507,0.1037,9.7825,-0.0120,-0.0190,-0.0102
220,-0.0149,0.2098,9.7673,-0.0034,0.0052,-0.0122
230,0.1178,-0.0034,9.7844,0.0062,-0.0198,0.0100
240,0.1620,-0.2360,9.8025,-0.0130,0.0183,0.0007
250,-0.2699,-0.1505,9.8448,-0.0017,0.0121,0.0067
260,0.2927,0.0573,9.8550,0.0157,0.0045,0.0088
270,0.0029,0.1983,9.8148,0.0159,0.0097,-0.0010
280,-0.1445,-0.1517,9.8238,0.0106,0.0009,0.0051
290,-0.1352,-0.2535,9.7886,-0.0091,-0.0072,0.0016
300,-0.2170,-0.1612,9.8294,0.0083,-0.0174,-0.0037
310,0.0256,-0.0505,9.7807,-0.0032,0.0162,0.0034
320,0.1173,0.2140,9.8366,-0.0048,-0.0198,-0.0059
330,0.1521,0.2121,9.8553,-0.0032,0.0099,0.0018
340,0.0620,-0.1677,9.7819,-0.0026,-0.0188,-0.0066
350,0.1075,-0.0574,9.7765,-0.0013,-0.0149,0.0049
360,-0.2838,-0.0636,9.8164,-0.0189,0.0057,-0.0146
370,-0.0230,-0.2698,9.7979,-0.0115,-0.0069,0.0104
380,-0.0725,0.1512,9.8432,-0.0099,-0.0167,-0.0192
390,0.0237,0.2999,9.7950,0.0060,0.0112,0.0061
400,0.1525,0.2698,9.7799,-0.0192,-0.0139,-0.0150
410,0.1017,0.0384,9.7818,0.0080,0.0107,-0.0133
420,0.0643,0.1488,9.7715,0.0128,0.0186,-0.0157
430,-0.2846,-0.1128,9.8277,0.0183,-0.0041,0.0086
440,-0.2544,0.1144,9.8227,-0.0159,0.0109,0.0140
450,0.0602,-0.2274,9.8584,0.0113,-0.0061,-0.0029
460,-0.0777,0.0036,9.7941,0.0140,0.0129,-0.0158
470,0.2765,0.0814,9.8429,0.0083,-0.0026,0.0094
480,0.2793,-0.1380,9.8408,0.0015,-0.0007,-0.0026
490,0.1386,-0.1390,9.8452,0.0132,-0.0165,0.0153
500,-0.1537,-0.0212,9.8210,-0.0048,-0.0189,0.0140
510,-0.1909,-0.1727,9.8398,-0.0064,0.0152,0.0080
520,-0.1342,-0.2939,9.8548,-0.0166,0.0088,-0.0005
530,0.1549,0.1144,9.8246,-0.0004,0.0117,-0.0163
540,-0.1670,0.1151,9.7906,0.0033,-0.0011,0.0012
550,-0.0447,0.1476,9.7931,0.0081,-0.0092,-0.0099
560,-0.2276,-0.1844,9.7720,0.0014,0.0105,-0.0126
570,-0.1702,-0.0095,9.8325,0.0191,0.0010,-0.0087
580,-0.2397,-0.1835,9.7827,-0.0128,-0.0194,0.0014
590,-0.1354,0.2846,9.8153,0.0079,-0.0149,0.0147
600,-0.0055,0.2236,9.8174,-0.0012,-0.0024,-0.0126
610,-0.2692,0.2646,9.8078,0.0129,-0.0040,-0.0170
620,0.0777,-0.2678,9.7749,0.0025,-0.0078,0.0198
630,-0.2289,0.1587,9.8206,0.0116,-0.0110,0.0009
640,-0.0297,-0.0344,9.8460,0.0196,-0.0078,0.0048
650,0.0658,0.1441,9.8548,-0.0117,-0.0116,0.0064
660,-0.2058,-0.1957,9.7675,-0.0199,-0.0020,0.0038
670,-0.1252,-0.1611,9.8307,0.0081,-0.0018,0.0075
680,0.2543,0.1727,9.8225,0.0064,0.0173,-0.0030
690,0.0267,0.0886,9.8508,0.0131,-0.0171,-0.0134
700,-0.1154,0.1494,9.8169,-0.0085,-0.0150,0.0075
710,0.1198,0.2656,9.8100,-0.0002,-0.0168,-0.0184
720,-0.0408,-0.1066,9.7850,-0.0163,0.0185,0.0134
730,0.0451,0.2705,9.8600,0.0069,-0.0092,-0.0184
740,0.1538,-0.0177,9.8252,0.0166,-0.0127,0.0034
750,0.0809,-0.0050,9.7691,-0.0061,-0.0067,0.0068
760,0.2146,-0.1021,9.8294,-0.0085,0.0178,0.0125
770,0.0301,-0.0271,9.7915,-0.0071,0.0188,-0.0038
780,0.0088,0.2929,9.8258,0.0017,-0.0035,-0.0125
790,-0.0829,0.1539,9.8225,0.0104,-0.0119,0.0020
800,0.2566,-0.0371,9.8298,-0.0151,0.0189,0.0044
810,-0.1564,-0.2050,9.8151,0.0021,-0.0163,0.0197
820,0.2478,-0.0231,9.7717,0.0133,-0.0001,0.0087
830,0.0053,-0.1359,9.8435,0.0192,-0.0103,0.0021
840,-0.0698,0.2531,9.8108,0.0152,0.0146,-0.0090
850,0.1740,-0.0510,9.8534,0.0003,0.0128,-0.0087
860,-0.1209,0.0522,9.8599,-0.0004,-0.0141,0.0015
870,-0.0929,0.0312,9.8143,-0.0018,-0.0071,-0.0125
880,0.1185,0.0431,9.7834,0.0110,-0.0183,0.0098
890,0.1231,0.1868,9.7986,0.0065,0.0128,0.0192
900,-0.0028,-0.2778,9.8102,0.0036,0.0148,0.0150
910,-0.0358,0.0156,9.8057,0.0089,-0.0036,0.0062
920,-0.2074,-0.0183,9.8569,-0.0065,0.0077,0.0060
930,0.2111,0.2114,9.8459,-0.0048,-0.0073,0.0087
940,0.1556,0.2234,9.7636,-0.0173,0.0052,0.0168
950,0.2985,0.1481,9.8034,-0.0161,0.0053,0.0149
960,-0.0338,0.1164,9.8503,-0.0182,0.0118,-0.0083
970,-0.0751,-0.2127,9.8131,0.0026,0.0117,-0.0132
980,-0.2526,0.2225,9.8220,-0.0104,0.0165,-0.0143
990,-0.0233,-0.1476,9.7855,-0.0196,0.0122,0.0160
1000,0.1066,-0.2052,9.8042,-0.0062,0.0035,0.0056
1010,-0.0454,-0.1499,9.8445,-0.0120,-0.0046,-0.0007
1020,-0.1577,0.0432,9.8175,0.0197,-0.0082,0.0191
1030,0.0949,-0.1353,9.8166,0.0074,0.0098,-0.0180
1040,0.0638,-0.0020,9.8504,-0.0086,0.0120,0.0043
1050,-0.0886,0.0820,9.8221,0.0071,0.0088,0.0064
1060,0.2030,0.0769,9.8503,0.0059,-0.0076,-0.0024
1070,0.0477,0.1394,9.7690,-0.0082,0.0099,-0.0130
1080,-0.2207,0.0236,9.8571,0.0012,0.0165,0.0132
1090,-0.1458,0.1948,9.8082,0.0123,0.0099,-0.0065
1100,-0.2309,0.2777,9.7741,0.0187,0.0144,0.0090
1110,0.2880,0.2804,9.8405,-0.0054,0.0116,-0.0194
1120,0.0219,-0.0271,9.8273,0.0069,0.0034,0.0129
1130,0.2642,-0.2350,9.7834,-0.0190,0.0154,0.0025
