timestamp_ms,left_ticks,right_ticks,speed_mps
0,40,40,2.004
20,79,80,1.997
40,119,119,2.045
60,159,159,2.037
80,199,199,2.011
100,239,238,2.012
120,278,277,1.978
140,318,317,2.039
160,357,356,1.967
180,396,394,1.989
200,435,434,1.996
220,475,474,2.026
240,515,515,2.022
260,554,553,1.985
280,595,594,2.054
300,635,634,2.039
320,675,674,2.041
340,715,715,2.013
360,756,756,2.060
380,796,796,2.019
400,835,835,1.997
420,874,874,1.994
440,915,915,2.056
460,956,957,2.070
480,996,998,2.031
500,1037,1039,2.072
520,1077,1080,2.002
540,1118,1121,2.057
560,1159,1162,2.063
580,1200,1202,2.063
600,1241,1243,2.070
620,1281,1282,2.009
640,1321,1321,2.036
660,1360,1359,1.992
680,1401,1399,2.061
700,1441,1438,2.027
720,1481,1478,2.005
740,1520,1517,1.998
760,1561,1558,2.061
780,1601,1598,2.031
800,1641,1638,2.029
820,1682,1678,2.079
840,1722,1718,2.030
860,1762,1757,2.031
880,1804,1798,2.101
900,1844,1838,2.027
920,1885,1879,2.062
940,1925,1919,2.023
960,1966,1960,2.067
980,2006,2000,2.018
1000,2047,2040,2.067
1020,2087,2081,2.027
1040,2129,2122,2.105
1060,2169,2161,2.027
1080,2209,2202,2.026
1100,2249,2243,2.037
1120,2290,2284,2.082
1140,2331,2325,2.054
1160,2372,2365,2.094
1180,2414,2408,2.121
1200,2455,2448,2.082
1220,2497,2491,2.108
1240,2537,2531,2.037
1260,2578,2573,2.097
1280,2619,2614,2.077
1300,2659,2654,2.046
1320,2701,2697,2.124
1340,2742,2738,2.052
1360,2784,2780,2.114
1380,2825,2820,2.082
1400,2865,2859,2.044
1420,2906,2901,2.074
1440,2948,2943,2.125
1460,2990,2985,2.118
1480,3031,3027,2.093
1500,3073,3068,2.126
1520,3114,3108,2.078
1540,3156,3151,2.125
1560,3197,3193,2.088
1580,3238,3234,2.073
1600,3280,3277,2.105
1620,3321,3318,2.090
1640,3362,3360,2.073
1660,3404,3403,2.132
1680,3446,3445,2.112
1700,3488,3487,2.111
1720,3529,3527,2.075
1740,3571,3570,2.133
1760,3612,3612,2.071
1780,3653,3652,2.094
1800,3695,3694,2.145
1820,3736,3736,2.095
1840,3777,3776,2.072
1860,3819,3819,2.135
1880,3861,3860,2.100
